date,facility,facility_id,orders,gmv,gmv_minus_discount,hours_staffed,week,month,labor_cost,orders_processed_per_hour_staffed,expected_hours,overstaffing_flag,processing_revenue,net_revenue,expected_labor_cost,expected_net_revenue,loss_flag
2023-08-13,NA-US-IL-DUN-Avondale,54341152-da81-4b58-8ba3-8604bc1ff2dc,779,23475.49,19577.79,13.216667,2023-08-07,2023-08-01,237.900006,59,22.257142857142856,0,939.0196000000001,701.1195940000001,400.62857142857143,538.3910285714287,0
2023-08-13,NA-US-NG-OTT-Tempe (Kitchens) (correct),a9eb0fc1-7699-43b4-bd4c-6bb5b8195a87,625,19378.49,15953.85,24.183333,2023-08-07,2023-08-01,435.299994,26,17.857142857142858,1,775.1396000000001,339.83960600000006,321.42857142857144,453.71102857142864,0
2023-08-13,NA-US-OD-5th (correct),54d4375f-4c79-4444-ad83-f54362c08198,509,16435.27,14358.66,17.6,2023-08-07,2023-08-01,316.8,29,14.542857142857143,1,657.4108,340.6108,261.77142857142854,395.63937142857145,0
2023-08-13,NA-US-TUCS-SA-Lombrano (Correct),ee395d7f-589b-4208-a745-90a8a0aa3bfd,53,1694.92,1671.92,0.0,2023-08-07,2023-08-01,0.0,0,1.5142857142857142,0,67.7968,67.7968,27.257142857142856,40.53965714285715,0
2023-08-13,NA-US-TX-KOL-18th,40cb78af-5b18-4044-82af-8751b9c34b58,94,3398.79,3398.79,6.783333,2023-08-07,2023-08-01,122.099994,14,2.6857142857142855,1,135.9516,13.851606000000018,48.34285714285714,87.60874285714287,0
2023-08-14,NA-US-CA(N)-NH-Ruff (Kitchens),905cbe43-327f-4d3e-a897-48ee81a64ade,456,12876.65,12498.15,24.416667,2023-08-14,2023-08-01,439.500006,19,13.028571428571428,1,515.066,75.56599400000005,234.5142857142857,280.5517142857143,0
2023-08-14,NA-US-CO-DEN-Aurora,2019e0f4-7fd8-47fd-a858-9e5c4b409a39,42,1359.65,1122.62,3.1,2023-08-14,2023-08-01,55.800000000000004,14,1.2,1,54.386,-1.4140000000000015,21.599999999999998,32.786,1
2023-08-14,NA-US-IL-DUN-Avondale,54341152-da81-4b58-8ba3-8604bc1ff2dc,679,20660.76,16559.67,12.283333,2023-08-14,2023-08-01,221.099994,56,19.4,0,826.4304,605.3304059999999,349.2,477.2304,0
2023-08-14,NA-US-NG-OTT-Tempe (Kitchens) (correct),a9eb0fc1-7699-43b4-bd4c-6bb5b8195a87,505,14809.28,11951.01,13.166667,2023-08-14,2023-08-01,237.000006,39,14.428571428571429,0,592.3712,355.37119400000006,259.7142857142857,332.6569142857143,0
2023-08-14,NA-US-OD-5th (correct),54d4375f-4c79-4444-ad83-f54362c08198,431,11792.56,10268.06,15.566666,2023-08-14,2023-08-01,280.199988,28,12.314285714285715,1,471.7024,191.502412,221.65714285714287,250.04525714285714,0
